Ticker,CIK,Industry,Input_Rev_Prev,Input_Rev_Curr,Revenue_Growth,Input_NetInc_Prev,Input_NetInc_Curr,Earnings_Growth,Audited_EPS,Input_NetCash_Op,Input_CapEx,Free_Cash_Flow,Input_Assets_Curr,Input_Liab_Curr,Current_Ratio,Input_Equity,ROIC,Debt_to_EBITDA
ABCB,0000351569,State Commercial Banks,N/A,N/A,N/A,358685000,412154000,0.14906951782204442,6.0,390183000,20539000,369644000,N/A,N/A,N/A,4076028000,0.1011,0.0
ABR,0001253986,Real Estate Investment Trusts,N/A,N/A,N/A,53428814,6910656,-0.8706567583551452,0.56,372381000,N/A,372381000,N/A,N/A,N/A,2953353000,0.0005,11.92
ADAM,0001273685,Real Estate Investment Trusts,N/A,N/A,N/A,-62029000,149048000,-3.402876074094375,1.1,134040000,8154000,125886000,N/A,N/A,N/A,1426922000,0.0689,2.02
ARLO,0001736946,"Services-Detective, Guard & Armored Car Services",N/A,N/A,N/A,-30504000,14926000,-1.4893128769997377,0.14,78722000,2688000,76034000,260486000,172337000,1.51,127841000,0.1168,0.0
ARR,0001428205,Real Estate Investment Trusts,N/A,N/A,N/A,-14394000,322687000,-23.418160344588024,3.3,124202000,N/A,124202000,N/A,N/A,N/A,2261053000,0.1427,0.0
AUB,0000883948,State Commercial Banks,N/A,N/A,N/A,209131000,273715000,0.30882078697084603,2.03,2237380000,N/A,2237380000,N/A,N/A,N/A,5006398000,0.0466,1.27
BANF,0000760498,National Commercial Banks,N/A,N/A,N/A,216354000,240610000,0.1121125562735147,7.11,285278000,48311000,236967000,N/A,N/A,N/A,1854125000,0.1286,0.03
BANR,0000946673,State Commercial Banks,N/A,N/A,N/A,168898000,195382000,0.15680469869388625,5.64,257464000,9514000,247950000,N/A,N/A,N/A,1946297000,0.1004,0.0
BKU,0001504008,"Savings Institution, Federally Chartered",N/A,N/A,N/A,268353000,69260000,-0.7419071148822632,0.9,358614000,23272000,335342000,N/A,N/A,N/A,3053829000,0.0206,0.75
CATY,0000861842,State Commercial Banks,N/A,N/A,N/A,285979000,315124000,0.10191307753366506,4.54,368569000,4911000,363658000,N/A,N/A,N/A,2925388000,0.1035,0.13
CHCO,0000726854,National Commercial Banks,N/A,N/A,N/A,117101000,130485000,0.11429449791205883,8.93,131372000,2924000,128448000,N/A,N/A,N/A,809680000,0.1189,1.35
CUBI,0001488813,State Commercial Banks,N/A,N/A,N/A,181469000,224088000,0.23485554006469425,6.26,494759000,13739000,481020000,N/A,N/A,N/A,2115517000,0.1059,0.0
CVBF,0000354647,State Commercial Banks,N/A,N/A,N/A,200716000,209298000,0.042756930189920085,1.52,221411000,4067000,217344000,N/A,N/A,N/A,2295224000,0.06,2.99
EFC,0001411342,Real Estate,N/A,N/A,N/A,117829000,118743000,0.007757003793633146,1.19,-925461000,N/A,-925461000,N/A,N/A,N/A,1834259000,0.0647,0.0
EGBN,0001050441,State Commercial Banks,N/A,N/A,N/A,-47035000,-138052000,1.9350908897629424,-4.55,28495000,7733000,20762000,N/A,N/A,N/A,1131283000,-0.1143,0.54
FBK,0001649749,State Commercial Banks,N/A,N/A,N/A,116035000,122622000,0.056767354677468004,2.45,155863000,8849000,147014000,N/A,N/A,N/A,1948165000,0.0567,0.5
FCF,0000712537,National Commercial Banks,N/A,N/A,N/A,142572000,152302000,0.06824621945403024,1.47,187540000,16089000,171451000,N/A,N/A,N/A,1554376000,0.0808,0.83
FFBC,0000708955,National Commercial Banks,N/A,N/A,N/A,228830000,255605000,0.11700825940654634,2.66,337861000,20757000,317104000,N/A,N/A,N/A,2769216000,0.0646,1.99
FULT,0000700564,National Commercial Banks,N/A,N/A,N/A,288743000,391609000,0.3562545239191946,2.08,304483000,N/A,304483000,N/A,N/A,N/A,3490447000,0.1002,0.46
HFWA,0001046025,"Savings Institutions, Not Federally Chartered",N/A,N/A,N/A,43258000,67532000,0.5611447593508715,1.96,94819000,9156000,85663000,N/A,N/A,N/A,921504000,0.0733,0.0
HOPE,0001128361,National Commercial Banks,N/A,N/A,N/A,61588000,34466000,-0.44037799571345065,0.27,164546000,13089000,151457000,N/A,N/A,N/A,2283268000,0.0134,1.76
INDB,0000776901,State Commercial Banks,N/A,N/A,N/A,192081000,205122000,0.06789323254252112,4.44,251160000,12135000,239025000,N/A,N/A,N/A,3565728000,0.0516,0.91
KREF,0001631596,Real Estate Investment Trusts,N/A,N/A,N/A,-47051000,-26242000,-0.4422647765190963,-0.49,72283000,N/A,72283000,N/A,N/A,N/A,1172550000,-0.0035,65.67
LKFN,0000721994,State Commercial Banks,N/A,N/A,N/A,103361000,29906000,-0.7106645640038313,1.16,114887000,11122000,103765000,N/A,N/A,N/A,762403000,0.0287,3.56
MC,0001596967,Investment Advice,N/A,N/A,N/A,N/A,N/A,N/A,N/A,576297000,36330000,539967000,N/A,N/A,N/A,568439000,0.0049,0.0
MD,0000893949,Services-Hospitals,N/A,N/A,N/A,-99069000,165388000,-2.669422321816108,1.94,271091000,N/A,271091000,763514000,458911000,1.66,865854000,0.065,5.99
MGEE,0001161728,"Electric, Gas & Sanitary Services",N/A,N/A,N/A,120569000,135889000,0.1270641707238179,3.72,263234000,343220000,-79986000,228548000,296709000,0.77,1303936000,0.062,5.03
MRP,0002017206,Real Estate,N/A,N/A,N/A,-246221000,379864000,-2.542776611255742,2.44,3672821000,N/A,3672821000,N/A,N/A,N/A,5856262000,0.0649,0.0
MTH,0000833079,Operative Builders,N/A,N/A,N/A,786186000,453013000,-0.42378393916961127,6.35,118288000,25722000,92566000,N/A,N/A,N/A,5195643000,0.0743,1.48
NWBI,0001471265,National Commercial Banks,N/A,N/A,N/A,100278000,126013000,0.256636550389916,0.92,153415000,11630000,141785000,N/A,N/A,N/A,1890424000,0.0603,0.61
OFG,0001030469,State Commercial Banks,0,0,N/A,198170000,205103000,0.03498511379118938,4.58,217719000,18382000,199337000,N/A,N/A,N/A,1390005000,0.1434,0.12
PRVA,0001759655,Services-Health Services,N/A,N/A,N/A,14385000,22919000,0.5932568647897115,0.18,163404000,113000,163291000,911001000,568520000,1.6,737217000,0.0311,0.0
PTGX,0001377121,Pharmaceutical Preparations,N/A,N/A,N/A,275188000,-130149000,-1.4729457679840692,-2.05,57671000,1590000,56081000,577574000,45441000,12.71,614707000,-0.2084,999.0
RC,0001527590,Real Estate Investment Trusts,N/A,N/A,N/A,44870000,26911000,-0.4002451526632494,-1.44,432117000,N/A,432117000,N/A,N/A,N/A,1544032000,0.0092,2.09
RNST,0000715072,State Commercial Banks,N/A,N/A,N/A,195457000,181272000,-0.072573507216421,2.07,271471000,33720000,237751000,N/A,N/A,N/A,3884905000,0.0367,2.03
RWT,0000930236,Real Estate Investment Trusts,N/A,N/A,N/A,54004000,-70026000,-2.2966817272794606,-0.63,-10094521000,N/A,-10094521000,N/A,N/A,N/A,982616000,-0.0166,5.52
SBCF,0000730708,State Commercial Banks,N/A,N/A,N/A,120986000,144878000,0.19747739407865372,1.57,188061000,N/A,188061000,N/A,N/A,N/A,2712662000,0.0514,0.27
SBSI,0000705432,State Commercial Banks,N/A,N/A,N/A,88494000,69220000,-0.2178000768413678,2.29,93817000,20338000,73479000,N/A,N/A,N/A,847615000,0.0342,4.93
SFBS,0001430723,State Commercial Banks,N/A,N/A,N/A,227242000,276603000,0.21721776784221228,5.06,355204000,2300000,352904000,N/A,N/A,N/A,1849847000,0.1495,0.0
SFNC,0000090498,National Commercial Banks,N/A,N/A,N/A,152693000,-397553000,-3.6036098576883027,-2.95,449503000,38141000,411362000,N/A,N/A,N/A,3419240000,-0.1059,4.58
SKT,0000899715,Real Estate Investment Trusts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,999.0
STBA,0000719220,State Commercial Banks,N/A,N/A,N/A,131265000,134230000,0.02258789471679427,3.49,133616000,4768000,128848000,N/A,N/A,N/A,1463877000,0.0807,0.67
STEL,0001473844,National Commercial Banks,N/A,N/A,N/A,115003000,102872000,-0.10548420475987583,1.99,97004000,4398000,92606000,N/A,N/A,N/A,1668654000,0.0616,0.0
TBBK,0001295401,National Commercial Banks,N/A,N/A,N/A,217540000,228213000,0.04906224142686402,4.92,265009000,7090000,257919000,N/A,N/A,N/A,689796000,0.2528,0.46
TFIN,0001539638,State Commercial Banks,N/A,N/A,N/A,16090000,25359000,0.5760720944686141,0.93,67065000,2745000,64320000,N/A,N/A,N/A,941771000,0.0262,0.31
TRMK,0000036146,National Commercial Banks,N/A,N/A,N/A,223009000,224135000,0.005049123577972189,3.7,243902000,11949000,231953000,N/A,N/A,N/A,2121677000,0.1018,0.13
TRST,0000357301,State Commercial Banks,N/A,N/A,N/A,48833000,61137000,0.2519607642372986,3.25,57603000,11865000,45738000,N/A,N/A,N/A,686589000,0.0758,0.89
TWO,0001465740,Real Estate Investment Trusts,N/A,N/A,N/A,298168000,-454300000,-2.5236376807705723,-4.88,88917000,N/A,88917000,7618351000,N/A,N/A,3088926000,-0.039,52.7
WABC,0000311094,National Commercial Banks,N/A,N/A,N/A,138636000,116173000,-0.16202862171441762,4.52,121897000,2246000,119651000,N/A,N/A,N/A,933509000,0.1085,0.86
